"rcrd_date","car_no","rcrd_time","lo_lgt","lo_ltt","lo_drc"
"2020-12-07",闽F02103D,"2020-12-07 07:59:30:131","117.020373","25.050478","52.189999"
"2020-12-07",闽F02103D,"2020-12-07 07:59:33:312","117.020502","25.050578","47.169998"
"2020-12-07",闽F02103D,"2020-12-07 07:59:48:307","117.020637","25.050675","35.529999"
"2020-12-07",闽F02103D,"2020-12-07 07:59:51:221","117.020772","25.050862","35.900002"
"2020-12-07",闽F02103D,"2020-12-07 07:59:53:342","117.020910","25.051033","33.810001"
"2020-12-07",闽F02103D,"2020-12-07 07:59:55:422","117.021037","25.051225","33.509998"
"2020-12-07",闽F02103D,"2020-12-07 07:59:57:113","117.021165","25.051405","32.500000"
"2020-12-07",闽F02103D,"2020-12-07 07:59:58:211","117.021248","25.051517","33.619999"
"2020-12-07",闽F02103D,"2020-12-07 08:00:00:423","117.021340","25.051710","28.230000"
"2020-12-07",闽F02103D,"2020-12-07 08:00:01:272","117.021402","25.051873","24.850000"
"2020-12-07",闽F02103D,"2020-12-07 08:00:02:312","117.021470","25.052012","20.930000"
"2020-12-07",闽F02103D,"2020-12-07 08:00:04:194","117.021545","25.052220","20.240000"
"2020-12-07",闽F02103D,"2020-12-07 08:00:06:273","117.021595","25.052387","25.650000"
"2020-12-07",闽F02103D,"2020-12-07 08:00:08:353","117.021667","25.052533","24.760000"
"2020-12-07",闽F02103D,"2020-12-07 08:00:25:150","117.021778","25.052773","32.570000"
"2020-12-07",闽F02103D,"2020-12-07 08:00:27:450","117.021845","25.052908","23.400000"
"2020-12-07",闽F02103D,"2020-12-07 08:00:29:333","117.021910","25.053045","19.570000"
"2020-12-07",闽F02103D,"2020-12-07 08:00:32:282","117.021980","25.053208","16.549999"
"2020-12-07",闽F02103D,"2020-12-07 08:00:36:348","117.022040","25.053347","18.690001"
"2020-12-07",闽F02103D,"2020-12-07 08:01:25:310","117.022088","25.053493","19.219999"
"2020-12-07",闽F02103D,"2020-12-07 08:01:28:473","117.022167","25.053670","24.650000"
"2020-12-07",闽F02103D,"2020-12-07 08:01:30:365","117.022223","25.053830","21.760000"
"2020-12-07",闽F02103D,"2020-12-07 08:01:32:444","117.022305","25.054010","17.440001"
"2020-12-07",闽F02103D,"2020-12-07 08:01:34:342","117.022363","25.054180","24.760000"
"2020-12-07",闽F02103D,"2020-12-07 08:01:36:465","117.022438","25.054307","22.040001"
"2020-12-07",闽F02103D,"2020-12-07 08:01:39:401","117.022525","25.054455","22.850000"
"2020-12-07",闽F02103D,"2020-12-07 08:01:42:518","117.022610","25.054627","21.160000"
"2020-12-07",闽F02103D,"2020-12-07 08:01:45:503","117.022695","25.054810","20.040001"
"2020-12-07",闽F02103D,"2020-12-07 08:01:48:439","117.022755","25.054995","19.120001"
"2020-12-07",闽F02103D,"2020-12-07 08:01:51:363","117.022817","25.055180","19.260000"
"2020-12-07",闽F02103D,"2020-12-07 08:01:54:491","117.022890","25.055352","20.520000"
"2020-12-07",闽F02103D,"2020-12-07 08:01:57:402","117.022950","25.055507","17.809999"
"2020-12-07",闽F02103D,"2020-12-07 08:02:00:557","117.022963","25.055542","0.640000"
"2020-12-07",闽F02103D,"2020-12-07 08:02:12:442","117.022963","25.055542","16.549999"
"2020-12-07",闽F02103D,"2020-12-07 08:02:14:341","117.023012","25.055705","11.510000"
"2020-12-07",闽F02103D,"2020-12-07 08:02:16:447","117.023050","25.055868","12.060000"
"2020-12-07",闽F02103D,"2020-12-07 08:02:18:365","117.023095","25.056055","12.530000"
"2020-12-07",闽F02103D,"2020-12-07 08:02:20:495","117.023128","25.056258","5.920000"
"2020-12-07",闽F02103D,"2020-12-07 08:02:22:569","117.023147","25.056460","3.780000"
"2020-12-07",闽F02103D,"2020-12-07 08:02:24:432","117.023143","25.056662","359.859985"
"2020-12-07",闽F02103D,"2020-12-07 08:02:26:510","117.023125","25.056848","0.750000"
"2020-12-07",闽F02103D,"2020-12-07 08:02:29:458","117.023118","25.057037","356.410004"
"2020-12-07",闽F02103D,"2020-12-07 08:02:32:385","117.023113","25.057188","0.490000"
"2020-12-07",闽F02103D,"2020-12-07 08:02:35:519","117.023112","25.057333","355.549988"
"2020-12-07",闽F02103D,"2020-12-07 08:02:38:447","117.023105","25.057472","358.339996"
"2020-12-07",闽F02103D,"2020-12-07 08:02:42:623","117.023098","25.057652","357.940002"
"2020-12-07",闽F02103D,"2020-12-07 08:02:44:496","117.023073","25.057748","341.500000"
"2020-12-07",闽F02103D,"2020-12-07 08:02:45:532","117.023043","25.057793","327.880005"
"2020-12-07",闽F02103D,"2020-12-07 08:02:46:601","117.022998","25.057840","316.480011"
"2020-12-07",闽F02103D,"2020-12-07 08:02:47:430","117.022943","25.057877","304.679993"
"2020-12-07",闽F02103D,"2020-12-07 08:02:48:475","117.022868","25.057907","291.619995"
"2020-12-07",闽F02103D,"2020-12-07 08:02:50:371","117.022702","25.057935","279.709991"
"2020-12-07",闽F02103D,"2020-12-07 08:02:52:499","117.022515","25.057940","271.190002"
"2020-12-07",闽F02103D,"2020-12-07 08:02:54:413","117.022328","25.057928","270.559998"
"2020-12-07",闽F02103D,"2020-12-07 08:02:56:560","117.022157","25.057933","267.269989"
"2020-12-07",闽F02103D,"2020-12-07 08:02:59:492","117.021928","25.057958","267.989990"
"2020-12-07",闽F02103D,"2020-12-07 08:03:00:961","117.021757","25.057965","271.470001"
"2020-12-07",闽F02103D,"2020-12-07 08:03:03:697","117.021588","25.057980","274.459991"
"2020-12-07",闽F02103D,"2020-12-07 08:03:04:959","117.021423","25.058002","275.500000"
"2020-12-07",闽F02103D,"2020-12-07 08:03:08:072","117.021223","25.058018","266.320007"
"2020-12-07",闽F02103D,"2020-12-07 08:03:12:096","117.021038","25.058028","265.950012"
"2020-12-07",闽F02103D,"2020-12-07 08:03:29:166","117.021000","25.058033","283.260010"
"2020-12-07",闽F02103D,"2020-12-07 08:03:31:080","117.020845","25.058075","282.079987"
"2020-12-07",闽F02103D,"2020-12-07 08:03:35:242","117.020642","25.058122","277.320007"
"2020-12-07",闽F02103D,"2020-12-07 08:03:37:132","117.020468","25.058137","275.109985"
"2020-12-07",闽F02103D,"2020-12-07 08:03:39:223","117.020285","25.058127","274.140015"
"2020-12-07",闽F02103D,"2020-12-07 08:03:41:091","117.020073","25.058082","269.230011"
"2020-12-07",闽F02103D,"2020-12-07 08:03:43:190","117.019903","25.058060","276.010010"
"2020-12-07",闽F02103D,"2020-12-07 08:03:46:125","117.019662","25.058047","269.140015"
"2020-12-07",闽F02103D,"2020-12-07 08:03:48:066","117.019460","25.058037","270.589996"
"2020-12-07",闽F02103D,"2020-12-07 08:03:50:144","117.019267","25.058035","271.350006"
"2020-12-07",闽F02103D,"2020-12-07 08:03:52:039","117.019043","25.058038","271.500000"
