rcrd_date,car_no,rcrd_time,lo_lgt,lo_ltt,lo_drc,r_num
2020-12-07,闽F02199D,2020-12-07 07:35:03:200,117.023048,25.071595000000002,0.93,1
2020-12-07,闽F02199D,2020-12-07 07:35:04:037,117.02305,25.071697,1.65,1
2020-12-07,闽F02199D,2020-12-07 07:35:05:077,117.023055,25.071793,1.97,1
2020-12-07,闽F02199D,2020-12-07 07:35:06:134,117.02305700000001,25.07189,1.37,1
2020-12-07,闽F02199D,2020-12-07 07:35:07:170,117.023058,25.071987,2.12,1
2020-12-07,闽F02199D,2020-12-07 07:35:08:004,117.02306200000001,25.072087,1.41,1
2020-12-07,闽F02199D,2020-12-07 07:35:09:060,117.023055,25.072187,359.149994,1
2020-12-07,闽F02199D,2020-12-07 07:35:10:107,117.023052,25.07228,0.51,1
2020-12-07,闽F02199D,2020-12-07 07:35:12:212,117.023053,25.072453,0.62,1
2020-12-07,闽F02199D,2020-12-07 07:35:14:100,117.023058,25.072618,359.540009,1
2020-12-07,闽F02199D,2020-12-07 07:35:16:208,117.02306200000001,25.07275,359.209991,1
2020-12-07,闽F02199D,2020-12-07 07:35:17:065,117.023058,25.0728,353.519989,1
2020-12-07,闽F02199D,2020-12-07 07:35:18:113,117.023058,25.072838,359.519989,1
2020-12-07,闽F02199D,2020-12-07 07:35:19:161,117.023048,25.072865,346.269989,1
2020-12-07,闽F02199D,2020-12-07 07:35:20:197,117.023018,25.072862,300.339996,1
2020-12-07,闽F02199D,2020-12-07 07:35:21:024,117.022993,25.072857,275.299988,1
2020-12-07,闽F02199D,2020-12-07 07:35:22:070,117.02297,25.072843,248.63000499999998,1
2020-12-07,闽F02199D,2020-12-07 07:35:23:137,117.022947,25.07282,221.86000099999998,1
2020-12-07,闽F02199D,2020-12-07 07:35:24:191,117.02293300000001,25.072789999999998,205.369995,1
2020-12-07,闽F02199D,2020-12-07 07:35:25:015,117.022927,25.072763000000002,192.860001,1
2020-12-07,闽F02199D,2020-12-07 07:35:26:064,117.02291799999999,25.072748,185.740005,1
2020-12-07,闽F02199D,2020-12-07 07:35:27:106,117.022903,25.072733,195.33999599999999,1
2020-12-07,闽F02199D,2020-12-07 07:35:30:030,117.022878,25.072607,191.259995,1
2020-12-07,闽F02199D,2020-12-07 07:35:31:077,117.02287700000001,25.072535000000002,186.130005,1
2020-12-07,闽F02199D,2020-12-07 07:35:32:119,117.02288200000001,25.072443,181.949997,1
2020-12-07,闽F02199D,2020-12-07 07:35:34:029,117.022875,25.072262,180.470001,1
2020-12-07,闽F02199D,2020-12-07 07:35:35:113,117.022878,25.072172,181.229996,1
2020-12-07,闽F02199D,2020-12-07 07:35:36:162,117.02286799999999,25.072082,181.979996,1
2020-12-07,闽F02199D,2020-12-07 07:35:37:200,117.022855,25.07199,182.300003,1
2020-12-07,闽F02199D,2020-12-07 07:35:38:033,117.022853,25.071887,182.029999,1
2020-12-07,闽F02199D,2020-12-07 07:35:39:071,117.022843,25.071787,181.240005,1
2020-12-07,闽F02199D,2020-12-07 07:35:40:147,117.022842,25.071683,181.5,1
2020-12-07,闽F02199D,2020-12-07 07:35:41:191,117.022842,25.071583,180.619995,1
2020-12-07,闽F02199D,2020-12-07 07:35:42:030,117.022847,25.071487,180.050003,1
2020-12-07,闽F02199D,2020-12-07 07:35:43:099,117.022848,25.07139,181.399994,1
2020-12-07,闽F02199D,2020-12-07 07:35:44:150,117.022853,25.07129,179.529999,1
2020-12-07,闽F02199D,2020-12-07 07:35:45:004,117.022853,25.071188,179.369995,1
2020-12-07,闽F02199D,2020-12-07 07:35:46:073,117.022848,25.071088,183.259995,1
2020-12-07,闽F02199D,2020-12-07 07:35:47:147,117.02284499999999,25.07099,181.509995,1
2020-12-07,闽F02199D,2020-12-07 07:35:48:199,117.02283999999999,25.070892,179.100006,1
2020-12-07,闽F02199D,2020-12-07 07:35:49:031,117.02283200000001,25.070797,179.940002,1
2020-12-07,闽F02199D,2020-12-07 07:35:50:068,117.022843,25.07069,178.729996,1
2020-12-07,闽F02199D,2020-12-07 07:35:51:108,117.022853,25.070592,178.070007,1
